,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity
0,SPY210416C00165000,2021-01-06 11:41AM EST,165.0,210.2,222.48,223.7,0.0,-,1,1,0.00%,C,210416
1,SPY210416C00175000,2020-12-18 9:40AM EST,175.0,195.7,199.35,200.23,0.0,-,-,2,0.00%,C,210416
2,SPY210416C00180000,2021-02-01 9:31AM EST,180.0,194.0,204.46,205.21,0.0,-,1,1,0.00%,C,210416
3,SPY210416C00200000,2021-03-05 11:37AM EST,200.0,174.4,193.7,194.62,0.0,-,5,1,83.50%,C,210416
4,SPY210416C00210000,2021-02-26 3:53PM EST,210.0,173.32,183.7,184.62,0.0,-,1,0,77.93%,C,210416
5,SPY210416C00220000,2021-02-12 3:28PM EST,220.0,171.37,173.7,174.62,0.0,-,5,6,72.56%,C,210416
6,SPY210416C00225000,2021-01-11 10:11AM EST,225.0,154.74,165.45,166.02,0.0,-,1,0,0.00%,C,210416
7,SPY210416C00230000,2021-02-19 3:21PM EST,230.0,160.8,163.7,164.62,0.0,-,2,1,67.38%,C,210416
8,SPY210416C00240000,2021-03-11 12:03PM EST,240.0,153.44,153.71,154.62,0.0,-,3,7,62.89%,C,210416
9,SPY210416C00245000,2020-10-29 9:32AM EST,245.0,88.49,118.39,120.04,0.0,-,-,5,0.00%,C,210416
10,SPY210416C00250000,2021-03-05 11:58AM EST,250.0,144.24,143.71,144.61,0.0,-,4,24,57.81%,C,210416
11,SPY210416C00260000,2021-03-05 2:35PM EST,260.0,122.7,133.72,134.63,0.0,-,2,21,54.10%,C,210416
12,SPY210416C00265000,2021-02-05 3:47PM EST,265.0,123.14,118.48,119.06,0.0,-,1,30,0.00%,C,210416
13,SPY210416C00270000,2021-03-11 10:46AM EST,270.0,123.6,123.72,124.62,0.0,-,1,71,61.69%,C,210416
14,SPY210416C00272000,2021-01-19 12:05AM EST,272.0,100.0,117.89,118.71,0.0,-,-,0,0.00%,C,210416
15,SPY210416C00274000,2021-02-02 3:58PM EST,274.0,108.9,101.93,102.93,0.0,-,-,2,0.00%,C,210416
16,SPY210416C00275000,2021-03-12 9:53AM EST,275.0,118.19,118.72,119.65,9.16,+8.40%,2,2,59.57%,C,210416
17,SPY210416C00277000,2021-02-03 9:55AM EST,277.0,106.26,106.54,107.12,0.0,-,-,3,0.00%,C,210416
18,SPY210416C00278000,2020-12-16 12:36PM EST,278.0,93.15,97.83,98.61,0.0,-,-,76,0.00%,C,210416
19,SPY210416C00279000,2021-03-04 1:32PM EST,279.0,97.04,114.74,115.63,0.0,-,1,3,57.18%,C,210416
20,SPY210416C00280000,2021-03-04 1:48PM EST,280.0,94.83,113.74,114.63,0.0,-,2,376,56.67%,C,210416
21,SPY210416C00281000,2021-02-22 9:32AM EST,281.0,106.9,112.74,113.62,0.0,-,1,1,56.01%,C,210416
22,SPY210416C00282000,2020-11-20 11:17AM EST,282.0,78.0,90.6,91.24,0.0,-,2,2,0.00%,C,210416
23,SPY210416C00283000,2021-01-29 9:53AM EST,283.0,93.58,97.13,97.98,0.0,-,1,3,0.00%,C,210416
24,SPY210416C00284000,2021-02-18 10:06AM EST,284.0,104.64,109.74,110.64,0.0,-,3,1,54.79%,C,210416
25,SPY210416C00285000,2020-12-17 2:32PM EST,285.0,88.43,91.09,91.87,0.0,-,5,17,0.00%,C,210416
26,SPY210416C00286000,2021-01-19 12:05AM EST,286.0,94.3,103.34,104.28,0.0,-,-,5,0.00%,C,210416
27,SPY210416C00287000,2020-11-19 9:42AM EST,287.0,71.74,85.83,86.49,0.0,-,-,27,0.00%,C,210416
28,SPY210416C00288000,2021-03-04 1:34PM EST,288.0,88.31,105.75,106.63,0.0,-,5,104,52.61%,C,210416
29,SPY210416C00289000,2021-03-02 1:03PM EST,289.0,100.42,104.75,105.63,0.0,-,5,21,52.10%,C,210416
30,SPY210416C00290000,2021-03-09 10:16AM EST,290.0,98.0,103.75,104.66,0.0,-,10,49,52.05%,C,210416
31,SPY210416C00291000,2021-03-05 3:02PM EST,291.0,101.92,102.75,103.66,0.0,-,1,27,51.56%,C,210416
32,SPY210416C00292000,2021-02-10 12:54PM EST,292.0,98.53,101.75,102.66,0.0,-,22,43,51.05%,C,210416
33,SPY210416C00293000,2021-02-10 12:54PM EST,293.0,97.55,100.75,101.66,0.0,-,21,28,50.54%,C,210416
34,SPY210416C00294000,2021-02-10 2:24PM EST,294.0,96.61,99.75,100.66,0.0,-,78,479,50.05%,C,210416
35,SPY210416C00295000,2021-03-08 9:48AM EST,295.0,90.7,98.75,99.65,0.0,-,2,120,49.41%,C,210416
36,SPY210416C00296000,2021-02-10 12:54PM EST,296.0,94.57,97.75,98.63,0.0,-,21,44,48.63%,C,210416
37,SPY210416C00297000,2021-02-10 1:47PM EST,297.0,93.35,96.75,97.63,0.0,-,1,29,48.15%,C,210416
38,SPY210416C00298000,2021-03-08 10:51AM EST,298.0,88.8,95.76,96.64,0.0,-,2,89,47.80%,C,210416
39,SPY210416C00299000,2021-02-22 3:53PM EST,299.0,89.17,94.76,95.67,0.0,-,48,78,47.71%,C,210416
40,SPY210416C00300000,2021-03-12 3:30PM EST,300.0,93.54,93.76,94.66,-1.14,-1.20%,22580,22324,47.10%,C,210416
41,SPY210416C00301000,2021-02-26 2:54PM EST,301.0,82.74,92.76,93.66,0.0,-,23,330,46.61%,C,210416
42,SPY210416C00302000,2021-02-22 11:44AM EST,302.0,86.72,91.77,92.64,0.0,-,47,5201,45.85%,C,210416
43,SPY210416C00303000,2021-02-22 11:38AM EST,303.0,85.79,90.77,91.63,0.0,-,19,10239,45.22%,C,210416
44,SPY210416C00304000,2021-03-11 12:37PM EST,304.0,90.86,89.77,90.63,0.0,-,1,6589,44.73%,C,210416
45,SPY210416C00305000,2021-03-11 4:02PM EST,305.0,88.1,88.77,89.63,0.0,-,2,20134,44.26%,C,210416
46,SPY210416C00306000,2021-02-23 12:02PM EST,306.0,78.34,87.77,88.63,0.0,-,1,155,43.77%,C,210416
47,SPY210416C00307000,2021-02-22 3:36PM EST,307.0,81.41,86.77,87.63,0.0,-,8,305,43.29%,C,210416
48,SPY210416C00308000,2021-03-08 9:34AM EST,308.0,76.49,85.77,86.63,0.0,-,60,207,42.82%,C,210416
49,SPY210416C00309000,2021-03-03 2:11PM EST,309.0,75.2,84.77,85.63,0.0,-,1,92,42.33%,C,210416
50,SPY210416C00310000,2021-03-11 2:42PM EST,310.0,84.73,83.77,84.63,0.0,-,12000,23216,41.85%,C,210416
51,SPY210416C00311000,2021-03-02 3:40PM EST,311.0,77.27,82.78,83.64,0.0,-,9,72,41.50%,C,210416
52,SPY210416C00312000,2021-03-11 1:48PM EST,312.0,82.95,81.78,82.64,0.0,-,2,198,41.04%,C,210416
53,SPY210416C00313000,2021-03-08 12:16PM EST,313.0,73.33,80.78,81.65,0.0,-,43,114,40.67%,C,210416
54,SPY210416C00314000,2021-03-03 2:28PM EST,314.0,70.23,79.79,80.65,0.0,-,2,96,40.21%,C,210416
55,SPY210416C00315000,2021-03-12 3:05PM EST,315.0,78.53,78.79,79.66,4.81,+6.52%,16,13398,39.84%,C,210416
56,SPY210416C00316000,2021-03-02 10:55AM EST,316.0,72.94,77.8,78.66,0.0,-,4,646,39.38%,C,210416
57,SPY210416C00317000,2021-03-11 12:13PM EST,317.0,78.57,76.78,77.69,0.0,-,1,1807,39.25%,C,210416
58,SPY210416C00318000,2021-03-02 9:37AM EST,318.0,71.94,75.8,76.62,0.0,-,1,705,37.94%,C,210416
59,SPY210416C00319000,2021-03-09 2:14PM EST,319.0,70.98,74.81,75.54,0.0,-,1,729,36.48%,C,210416
60,SPY210416C00320000,2021-03-11 1:50PM EST,320.0,74.84,73.81,74.62,0.0,-,3,20218,37.01%,C,210416
61,SPY210416C00321000,2021-03-08 12:59PM EST,321.0,66.36,72.81,73.68,0.0,-,33,34,37.23%,C,210416
62,SPY210416C00322000,2021-03-04 2:58PM EST,322.0,56.7,71.82,72.63,0.0,-,3,96,36.21%,C,210416
63,SPY210416C00323000,2021-02-25 9:51AM EST,323.0,69.22,70.82,71.68,0.0,-,1,30,36.28%,C,210416
64,SPY210416C00324000,2021-02-25 9:50AM EST,324.0,68.11,69.83,70.66,0.0,-,4,20,35.60%,C,210416
65,SPY210416C00325000,2021-03-11 1:26PM EST,325.0,69.97,68.84,69.61,0.0,-,10,7201,34.57%,C,210416
66,SPY210416C00326000,2021-02-26 2:22PM EST,326.0,57.3,67.84,68.7,0.0,-,46,97,35.08%,C,210416
67,SPY210416C00327000,2021-03-05 11:36AM EST,327.0,49.58,66.85,67.66,0.0,-,18,86,34.20%,C,210416
68,SPY210416C00328000,2021-03-04 2:35PM EST,328.0,61.91,65.86,66.7,0.0,-,10,62,34.16%,C,210416
69,SPY210416C00329000,2021-03-12 2:59PM EST,329.0,64.12,64.88,65.72,2.86,+4.67%,14,115,33.88%,C,210416
70,SPY210416C00330000,2021-03-11 1:50PM EST,330.0,64.99,63.87,64.64,0.0,-,26,16813,32.59%,C,210416
71,SPY210416C00331000,2021-03-10 10:39AM EST,331.0,58.15,62.88,63.73,0.0,-,40,70,33.03%,C,210416
72,SPY210416C00332000,2021-03-03 9:37AM EST,332.0,55.24,62.06,62.74,0.0,-,2,60,32.65%,C,210416
73,SPY210416C00333000,2021-03-11 2:32PM EST,333.0,62.2,60.9,61.74,0.0,-,5,122,32.18%,C,210416
74,SPY210416C00334000,2021-03-08 10:07AM EST,334.0,52.0,60.11,60.45,0.0,-,1,154,28.61%,C,210416
75,SPY210416C00335000,2021-03-12 4:03PM EST,335.0,59.59,59.12,59.46,-0.87,-1.44%,4,22316,28.30%,C,210416
76,SPY210416C00336000,2021-03-05 11:29AM EST,336.0,59.39,58.13,58.47,0.0,-,2,224,27.98%,C,210416
77,SPY210416C00337000,2021-03-10 3:37PM EST,337.0,53.52,57.14,57.48,0.0,-,70,320,27.66%,C,210416
78,SPY210416C00338000,2021-03-12 12:55PM EST,338.0,54.88,56.15,56.49,2.67,+5.11%,11,455,27.34%,C,210416
79,SPY210416C00339000,2021-03-11 3:24PM EST,339.0,55.48,55.17,55.51,0.0,-,110,1031,27.12%,C,210416
80,SPY210416C00340000,2021-03-12 3:37PM EST,340.0,54.46,54.19,54.52,4.28,+8.53%,3,8342,26.78%,C,210416
81,SPY210416C00341000,2021-03-11 3:24PM EST,341.0,53.49,53.2,53.54,0.0,-,110,964,26.56%,C,210416
82,SPY210416C00342000,2021-03-08 10:51AM EST,342.0,45.95,52.22,52.56,0.0,-,3,915,26.32%,C,210416
83,SPY210416C00343000,2021-03-12 12:15PM EST,343.0,50.24,51.24,51.58,-0.89,-1.74%,24,1028,26.06%,C,210416
84,SPY210416C00344000,2021-03-11 3:45PM EST,344.0,50.41,50.26,50.6,0.0,-,90,787,25.81%,C,210416
85,SPY210416C00345000,2021-03-11 11:59AM EST,345.0,47.56,49.29,49.63,-2.81,-5.58%,23,2182,25.62%,C,210416
86,SPY210416C00346000,2021-03-11 3:41PM EST,346.0,47.4,48.31,48.65,-1.22,-2.51%,69,1197,25.34%,C,210416
87,SPY210416C00347000,2021-03-12 3:14PM EST,347.0,46.5,47.34,47.68,9.99,+27.36%,46,1743,25.14%,C,210416
88,SPY210416C00348000,2021-03-09 1:00PM EST,348.0,45.67,46.37,46.71,-0.23,-0.50%,69,966,24.92%,C,210416
89,SPY210416C00349000,2021-03-12 1:30PM EST,349.0,44.65,45.4,45.74,-0.22,-0.49%,98,892,24.68%,C,210416
90,SPY210416C00350000,2021-03-12 3:27PM EST,350.0,44.05,44.44,44.78,-1.94,-4.22%,544,4088,24.52%,C,210416
91,SPY210416C00351000,2021-03-12 1:25PM EST,351.0,43.13,43.47,43.81,0.28,+0.65%,95,491,24.27%,C,210416
92,SPY210416C00352000,2021-03-12 1:40PM EST,352.0,41.8,42.51,42.85,0.4,+0.97%,304,973,24.07%,C,210416
93,SPY210416C00353000,2021-03-12 1:42PM EST,353.0,40.71,41.55,41.89,2.16,+5.60%,95,899,23.85%,C,210416
94,SPY210416C00354000,2021-03-12 3:28PM EST,354.0,40.17,40.67,40.84,0.71,+1.80%,33,850,23.05%,C,210416
95,SPY210416C00355000,2021-03-12 3:22PM EST,355.0,39.31,39.71,39.88,-1.46,-3.58%,107,2190,22.83%,C,210416
96,SPY210416C00356000,2021-03-12 3:08PM EST,356.0,37.92,38.76,38.93,-2.48,-6.14%,33,949,22.66%,C,210416
97,SPY210416C00357000,2021-03-12 1:40PM EST,357.0,37.0,37.81,37.98,0.28,+0.76%,23,1000,22.47%,C,210416
98,SPY210416C00358000,2021-03-11 11:29AM EST,358.0,37.16,36.87,37.03,0.0,-,33,605,22.27%,C,210416
99,SPY210416C00359000,2021-03-11 4:01PM EST,359.0,35.9,35.92,36.09,0.19,+0.53%,2,797,22.11%,C,210416
100,SPY210416C00360000,2021-03-12 3:58PM EST,360.0,35.13,34.99,35.15,-0.16,-0.45%,150,6420,21.92%,C,210416
