,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity,Type,Mid
0,SPY210416C00165000,2021-01-06 12:41PM EDT,165.0,210.2,222.48,223.7,0.0,-,1,1,0.00%,2021-04-16,C,223.08999999999997
1,SPY210416C00175000,2020-12-18 10:40AM EDT,175.0,195.7,199.35,200.23,0.0,-,-,2,0.00%,2021-04-16,C,199.79
2,SPY210416C00180000,2021-02-01 10:31AM EDT,180.0,194.0,204.46,205.21,0.0,-,1,1,0.00%,2021-04-16,C,204.835
3,SPY210416C00200000,2021-03-05 12:37PM EDT,200.0,174.4,193.7,194.62,0.0,-,5,1,89.26%,2021-04-16,C,194.16
4,SPY210416C00210000,2021-02-26 4:53PM EDT,210.0,173.32,183.7,184.62,0.0,-,1,0,83.40%,2021-04-16,C,184.16
5,SPY210416C00220000,2021-02-12 4:28PM EDT,220.0,171.37,173.7,174.62,0.0,-,5,6,77.64%,2021-04-16,C,174.16
6,SPY210416C00225000,2021-01-11 11:11AM EDT,225.0,154.74,165.45,166.02,0.0,-,1,0,0.00%,2021-04-16,C,165.735
7,SPY210416C00230000,2021-02-19 4:21PM EDT,230.0,160.8,163.7,164.62,0.0,-,2,1,72.17%,2021-04-16,C,164.16
8,SPY210416C00240000,2021-03-11 1:03PM EDT,240.0,153.44,153.71,154.62,0.0,-,3,7,67.19%,2021-04-16,C,154.16500000000002
9,SPY210416C00245000,2020-10-29 10:32AM EDT,245.0,88.49,118.39,120.04,0.0,-,-,5,0.00%,2021-04-16,C,119.215
10,SPY210416C00250000,2021-03-05 12:58PM EDT,250.0,144.24,143.71,144.61,0.0,-,4,24,61.91%,2021-04-16,C,144.16000000000003
11,SPY210416C00260000,2021-03-05 3:35PM EDT,260.0,122.7,133.72,134.63,0.0,-,2,21,57.72%,2021-04-16,C,134.175
12,SPY210416C00265000,2021-02-05 4:47PM EDT,265.0,123.14,118.48,119.06,0.0,-,1,30,0.00%,2021-04-16,C,118.77000000000001
13,SPY210416C00270000,2021-03-11 11:46AM EDT,270.0,123.6,123.72,124.62,0.0,-,1,71,52.78%,2021-04-16,C,124.17
14,SPY210416C00272000,2021-01-19 1:05AM EDT,272.0,100.0,117.89,118.71,0.0,-,-,0,0.00%,2021-04-16,C,118.3
15,SPY210416C00274000,2021-02-02 4:58PM EDT,274.0,108.9,101.93,102.93,0.0,-,-,2,0.00%,2021-04-16,C,102.43
16,SPY210416C00275000,2021-03-12 10:53AM EDT,275.0,118.19,118.72,119.65,9.16,+8.40%,2,2,51.03%,2021-04-16,C,119.185
17,SPY210416C00277000,2021-02-03 10:55AM EDT,277.0,106.26,106.54,107.12,0.0,-,-,3,0.00%,2021-04-16,C,106.83000000000001
18,SPY210416C00278000,2020-12-16 1:36PM EDT,278.0,93.15,97.83,98.61,0.0,-,-,76,0.00%,2021-04-16,C,98.22
19,SPY210416C00279000,2021-03-04 2:32PM EDT,279.0,97.04,114.74,115.63,0.0,-,1,3,58.96%,2021-04-16,C,115.185
20,SPY210416C00280000,2021-03-04 2:48PM EDT,280.0,94.83,113.74,114.63,0.0,-,2,376,58.45%,2021-04-16,C,114.185
21,SPY210416C00281000,2021-02-22 10:32AM EDT,281.0,106.9,112.74,113.62,0.0,-,1,1,57.76%,2021-04-16,C,113.18
22,SPY210416C00282000,2020-11-20 12:17PM EDT,282.0,78.0,90.6,91.24,0.0,-,2,2,0.00%,2021-04-16,C,90.91999999999999
23,SPY210416C00283000,2021-01-29 10:53AM EDT,283.0,93.58,97.13,97.98,0.0,-,1,3,0.00%,2021-04-16,C,97.555
24,SPY210416C00284000,2021-02-18 11:06AM EDT,284.0,104.64,109.74,110.64,0.0,-,3,1,56.49%,2021-04-16,C,110.19
25,SPY210416C00285000,2020-12-17 3:32PM EDT,285.0,88.43,91.09,91.87,0.0,-,5,17,0.00%,2021-04-16,C,91.48
26,SPY210416C00286000,2021-01-19 1:05AM EDT,286.0,94.3,103.34,104.28,0.0,-,-,5,0.00%,2021-04-16,C,103.81
27,SPY210416C00287000,2020-11-19 10:42AM EDT,287.0,71.74,85.83,86.49,0.0,-,-,27,0.00%,2021-04-16,C,86.16
28,SPY210416C00288000,2021-03-04 2:34PM EDT,288.0,88.31,105.75,106.63,0.0,-,5,104,54.25%,2021-04-16,C,106.19
29,SPY210416C00289000,2021-03-02 2:03PM EDT,289.0,100.42,104.75,105.63,0.0,-,5,21,53.76%,2021-04-16,C,105.19
30,SPY210416C00290000,2021-03-09 11:16AM EDT,290.0,98.0,103.75,104.66,0.0,-,10,49,53.66%,2021-04-16,C,104.205
31,SPY210416C00291000,2021-03-05 4:02PM EDT,291.0,101.92,102.75,103.66,0.0,-,1,27,53.15%,2021-04-16,C,103.205
32,SPY210416C00292000,2021-02-10 1:54PM EDT,292.0,98.53,101.75,102.66,0.0,-,22,43,52.64%,2021-04-16,C,102.205
33,SPY210416C00293000,2021-02-10 1:54PM EDT,293.0,97.55,100.75,101.66,0.0,-,21,28,52.12%,2021-04-16,C,101.205
34,SPY210416C00294000,2021-02-10 3:24PM EDT,294.0,96.61,99.75,100.66,0.0,-,78,479,51.61%,2021-04-16,C,100.205
35,SPY210416C00295000,2021-03-08 10:48AM EDT,295.0,90.7,98.75,99.65,0.0,-,2,120,50.95%,2021-04-16,C,99.2
36,SPY210416C00296000,2021-02-10 1:54PM EDT,296.0,94.57,97.75,98.63,0.0,-,21,44,50.17%,2021-04-16,C,98.19
37,SPY210416C00297000,2021-02-10 2:47PM EDT,297.0,93.35,96.75,97.63,0.0,-,1,29,49.66%,2021-04-16,C,97.19
38,SPY210416C00298000,2021-03-08 11:51AM EDT,298.0,88.8,95.76,96.64,0.0,-,2,89,49.29%,2021-04-16,C,96.2
39,SPY210416C00299000,2021-02-22 4:53PM EDT,299.0,89.17,94.76,95.67,0.0,-,48,78,49.19%,2021-04-16,C,95.215
40,SPY210416C00300000,2021-03-12 4:30PM EDT,300.0,93.54,93.76,94.66,-1.14,-1.20%,22580,22324,48.56%,2021-04-16,C,94.21000000000001
41,SPY210416C00301000,2021-02-26 3:54PM EDT,301.0,82.74,92.76,93.66,0.0,-,23,330,48.05%,2021-04-16,C,93.21000000000001
42,SPY210416C00302000,2021-02-22 12:44PM EDT,302.0,86.72,91.77,92.64,0.0,-,47,5201,47.29%,2021-04-16,C,92.205
43,SPY210416C00303000,2021-02-22 12:38PM EDT,303.0,85.79,90.77,91.63,0.0,-,19,10239,46.66%,2021-04-16,C,91.19999999999999
44,SPY210416C00304000,2021-03-11 1:37PM EDT,304.0,90.86,89.77,90.63,0.0,-,1,6589,46.17%,2021-04-16,C,90.19999999999999
45,SPY210416C00305000,2021-03-11 5:02PM EDT,305.0,88.1,88.77,89.63,0.0,-,2,20134,45.68%,2021-04-16,C,89.19999999999999
46,SPY210416C00306000,2021-02-23 1:02PM EDT,306.0,78.34,87.77,88.63,0.0,-,1,155,45.17%,2021-04-16,C,88.19999999999999
47,SPY210416C00307000,2021-02-22 4:36PM EDT,307.0,81.41,86.77,87.63,0.0,-,8,305,44.68%,2021-04-16,C,87.19999999999999
48,SPY210416C00308000,2021-03-08 10:34AM EDT,308.0,76.49,85.77,86.63,0.0,-,60,207,44.19%,2021-04-16,C,86.19999999999999
49,SPY210416C00309000,2021-03-03 3:11PM EDT,309.0,75.2,84.77,85.63,0.0,-,1,92,43.70%,2021-04-16,C,85.19999999999999
50,SPY210416C00310000,2021-03-11 3:42PM EDT,310.0,84.73,83.77,84.63,0.0,-,12000,23216,43.21%,2021-04-16,C,84.19999999999999
51,SPY210416C00311000,2021-03-02 4:40PM EDT,311.0,77.27,82.78,83.64,0.0,-,9,72,42.85%,2021-04-16,C,83.21000000000001
52,SPY210416C00312000,2021-03-11 2:48PM EDT,312.0,82.95,81.78,82.64,0.0,-,2,198,42.36%,2021-04-16,C,82.21000000000001
53,SPY210416C00313000,2021-03-08 1:16PM EDT,313.0,73.33,80.78,81.65,0.0,-,43,114,41.97%,2021-04-16,C,81.215
54,SPY210416C00314000,2021-03-03 3:28PM EDT,314.0,70.23,79.79,80.65,0.0,-,2,96,41.48%,2021-04-16,C,80.22
55,SPY210416C00315000,2021-03-12 4:05PM EDT,315.0,78.53,78.79,79.66,4.81,+6.52%,16,13398,41.11%,2021-04-16,C,79.225
56,SPY210416C00316000,2021-03-02 11:55AM EDT,316.0,72.94,77.8,78.66,0.0,-,4,646,40.63%,2021-04-16,C,78.22999999999999
57,SPY210416C00317000,2021-03-11 1:13PM EDT,317.0,78.57,76.78,77.69,0.0,-,1,1807,40.48%,2021-04-16,C,77.235
