,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Spot Price,Fed Funds Rate,Maturity,Type,Mid
0,SPY210416C00165000,2021-01-06 12:41PM EDT,165.0,210.2,222.48,223.7,0.0,-,1,1,0.00%,394.36,2021-02-01,2021-04-16,C,223.08999999999997
1,SPY210416C00175000,2020-12-18 10:40AM EDT,175.0,195.7,199.35,200.23,0.0,-,-,2,0.00%,394.36,2021-02-01,2021-04-16,C,199.79
2,SPY210416C00180000,2021-02-01 10:31AM EDT,180.0,194.0,204.46,205.21,0.0,-,1,1,0.00%,394.36,2021-02-01,2021-04-16,C,204.835
3,SPY210416C00200000,2021-03-05 12:37PM EDT,200.0,174.4,0.0,0.0,0.0,-,5,1,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
4,SPY210416C00210000,2021-02-26 4:53PM EDT,210.0,173.32,0.0,0.0,0.0,-,1,0,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
5,SPY210416C00220000,2021-02-12 4:28PM EDT,220.0,171.37,173.7,174.62,0.0,-,5,6,88.67%,394.36,2021-02-01,2021-04-16,C,174.16
6,SPY210416C00225000,2021-01-11 11:11AM EDT,225.0,154.74,165.45,166.02,0.0,-,1,0,0.00%,394.36,2021-02-01,2021-04-16,C,165.735
7,SPY210416C00230000,2021-03-15 10:33AM EDT,230.0,163.6,0.0,0.0,0.0,-,33,34,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
8,SPY210416C00240000,2021-03-11 1:03PM EDT,240.0,153.44,0.0,0.0,0.0,-,3,6,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
9,SPY210416C00245000,2020-10-29 10:32AM EDT,245.0,88.49,118.39,120.04,0.0,-,-,5,0.00%,394.36,2021-02-01,2021-04-16,C,119.215
10,SPY210416C00250000,2021-03-05 12:58PM EDT,250.0,147.5,0.0,0.0,0.0,-,4,23,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
11,SPY210416C00260000,2021-03-05 3:35PM EDT,260.0,122.7,0.0,0.0,0.0,-,2,21,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
12,SPY210416C00265000,2021-02-05 4:47PM EDT,265.0,123.14,118.48,119.06,0.0,-,1,30,0.00%,394.36,2021-02-01,2021-04-16,C,118.77000000000001
13,SPY210416C00270000,2021-03-11 11:46AM EDT,270.0,127.5,0.0,0.0,0.0,-,1,70,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
14,SPY210416C00272000,2021-01-19 1:05AM EDT,272.0,100.0,117.89,118.71,0.0,-,-,0,0.00%,394.36,2021-02-01,2021-04-16,C,118.3
15,SPY210416C00274000,2021-02-02 4:58PM EDT,274.0,108.9,101.93,102.93,0.0,-,-,2,0.00%,394.36,2021-02-01,2021-04-16,C,102.43
16,SPY210416C00275000,2021-03-12 10:53AM EDT,275.0,118.19,0.0,0.0,0.0,-,2,4,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
